SequenceName	ClusterNumber
QNG41829.1	5
QOU89282.1	5
QOW85215.1	5
QOW62984.1	5
QOY99507.1	5
QOF11213.1	5
QMS51530.1	5
QKM75413.1	5
QOY99615.1	5
QOW78968.1	5
QKV27551.1	5
QJD23609.1	5
QPB13067.1	5
QPB45602.1	5
QOX07427.1	5
QOU95810.1	5
QNN87592.1	5
QNV50310.1	5
QJR84369.1	5
QKT21014.1	5
QLB39021.1	5
QOC66821.1	5
QKQ63760.1	5
QNQ15608.1	5
QMI99806.1	5
QLF98277.1	5
QOF20777.1	5
QOL72229.1	5
QNO71111.1	5
QNU11076.1	5
QJX70519.1	5
QKI31226.1	5
QKN20763.1	5
BCG67531.1	5
QLG99856.1	5
QKR84321.1	5
QLI51325.1	5
QLK98059.1	5
QMJ01257.1	5
QMI93158.1	5
QMI93350.1	5
QMI91274.1	5
QMU92880.1	5
QLK97867.1	5
QMU91459.1	5
QNB17840.1	5
QNA39582.1	5
QNA38791.1	5
QNG41433.1	5
QNR99695.1	5
QOC60739.1	5
QOE44536.1	5
QOE45191.1	5
QOE87984.1	5
QOI11907.1	5
QOS50928.1	5
QOS47054.1	5
QOU94886.1	5
QOW79016.1	5
QLJ57659.1	5
QOW78743.1	5
QNR99347.1	5
QOC66989.1	5
QOY99747.1	5
QNR51172.1	5
QOY99471.1	5
QPB41278.1	5
QLY88863.1	5
QPB45590.1	5
QPB13103.1	5
YP_009724390.1	5
QNO71459.1	5
QOS50369.1	5
BCG44664.1	5
QOY99759.1	5
QPD96890.1	5
QOS51024.1	6
QOS50988.1	6
QOF08813.1	6
QNR60009.1	6
QNO39997.1	6
QNH88883.1	6
QLK03503.1	6
QLG76385.1	6
QJS57147.1	6
QJD47718.1	6
QLC47069.1	6
QOI10251.1	6
QJT72086.1	6
QJT72350.1	6
QIQ49882.1	6
QOV04520.1	6
QOW62432.1	6
QOY98721.1	6
QOF12653.1	6
QKT21158.1	6
QOC61951.1	6
QOC61531.1	6
QJR88113.1	6
QKN61217.1	6
QKV49386.1	6
QMI57728.1	6
QLH55683.1	6
QKG27877.1	6
QKG64075.1	6
QOE45323.1	6
QNN87100.1	6
QNO92399.1	6
QKJ68545.1	6
QND78273.1	6
QNQ17069.1	6
QNQ74632.1	6
QOE86848.1	6
QLF97795.1	6
QMT94216.1	6
QNL36358.1	6
QJU70569.1	6
QMI91946.1	6
QOQ72149.1	6
QLH64889.1	6
QNL35914.1	6
QNN88178.1	6
QOQ72544.1	6
QOR64233.1	6
QNN88166.1	6
QNP00979.1	7
QNO87419.1	7
QNO62939.1	7
QOQ16631.1	7
QNO80951.1	7
QOQ10780.1	7
QOQ05513.1	7
QOT56129.1	7
QOQ14248.1	7
QOT66590.1	7
QOQ17195.1	7
QOQ12544.1	7
QOQ00355.1	7
QOP99202.1	7
QOT51653.1	7
QOE81293.1	7
QNN88058.1	7
QOQ25639.1	7
QOT53765.1	7
QOW82783.1	7
QOW79544.1	7
QOR63226.1	7
QNA36223.1	7
QOR53789.1	7
QLG76853.1	7
QOP82375.1	7
QOQ03942.1	7
QOW84912.1	7
QNP05635.1	7
QOQ08812.1	7
QOQ08656.1	7
QOT62306.1	7
QOT61718.1	7
QOP97318.1	7
QOP97426.1	7
QOT66854.1	7
QKV37632.1	7
QOT48977.1	7
QNL10826.1	7
QOQ02406.1	7
QMJ01509.1	7
QNO91511.1	7
QNS30341.1	7
QLI49757.1	7
QNO40644.1	7
QKY59893.1	7
QOQ27999.1	7
QNP05959.1	8
QNP04027.1	8
QNP03115.1	8
QNO96407.1	8
QNO92999.1	8
QNO92843.1	8
QNO90635.1	8
QNO87311.1	8
QNO83747.1	8
QNO83303.1	8
QNO82199.1	8
QNO81959.1	8
QNO88871.1	8
QNO81083.1	8
QNO81035.1	8
QNO79547.1	8
QNO78863.1	8
QNO75467.1	8
QNO71891.1	8
QNO65927.1	8
QNO62267.1	8
QOQ28323.1	8
QOQ26107.1	8
QOQ24537.1	8
QOQ24477.1	8
QOQ24441.1	8
QOQ24357.1	8
QOQ23830.1	8
QOQ20147.1	8
QOQ19763.1	8
QOQ19415.1	8
QOQ18719.1	8
QOQ18203.1	8
QOQ17927.1	8
QOQ17591.1	8
QOQ17531.1	8
QOQ15875.1	8
QOQ15638.1	8
QOQ12256.1	8
QOQ11224.1	8
QOQ07793.1	8
QOQ04493.1	8
QOQ03546.1	8
QOQ00667.1	8
QOQ00499.1	8
QOP99142.1	8
QOP98998.1	8
QOP97378.1	8
QOP96791.1	8
QOP95354.1	8
QOP94670.1	8
QOP94514.1	8
QOP91635.1	8
QOP91251.1	8
QOP89211.1	8
QOP86596.1	8
QOP89847.1	8
QOP84533.1	8
QOP84185.1	8
QOP82663.1	8
QOP82483.1	8
QOP81163.1	8
QOT69468.1	8
QOT68629.1	8
QOT68569.1	8
QOT63794.1	8
QOT63722.1	8
QOT62174.1	8
QOT61311.1	8
QOT60963.1	8
QOT59307.1	8
QOT57976.1	8
QOT57220.1	8
QOT56801.1	8
QOT56765.1	8
QOT61898.1	8
QOT55805.1	8
QOT55625.1	8
QOT53573.1	8
QOT53297.1	8
QOT52757.1	8
QOT52349.1	8
QOT52253.1	8
QOT51977.1	8
QOT51821.1	8
QOT51113.1	8
QOT50837.1	8
QNO90119.1	8
QOT50789.1	8
QOT50765.1	8
QOT50429.1	8
QOT50093.1	8
QOT49817.1	8
QOT48629.1	8
QOT48269.1	8
QOT48245.1	8
QOT48149.1	8
QOT47945.1	8
QOT47706.1	8
QOT47694.1	8
QNP01591.1	8
QNO86579.1	8
QNO60947.1	8
QOQ22114.1	8
QOQ02622.1	8
QOQ06257.1	8
QOQ00895.1	8
QOP99430.1	8
QOP94754.1	8
QOP93111.1	8
QOT67106.1	8
QOT64550.1	8
QOT63662.1	8
QOT62270.1	8
QOT61095.1	8
QOT58360.1	8
QOT52889.1	8
QOT48701.1	8
QNP05107.1	8
QNO89171.1	8
QNO80891.1	8
QNO66275.1	8
QOQ19931.1	8
QOQ14728.1	8
QOQ09568.1	8
QOQ04218.1	8
QOQ00763.1	8
QOT69660.1	8
QOT52577.1	8
QOQ17255.1	8
QOQ13516.1	8
QNO89723.1	8
QOQ01255.1	8
QOP85936.1	8
QPB74043.1	8
QOT62546.1	8
QOT60387.1	8
QOP80228.1	8
QOT58480.1	8
QNO99167.1	8
QOT51461.1	8
QOQ21826.1	8
QNO62099.1	8
QOT49757.1	8
QNO87695.1	8
QNP01099.1	8
QOQ18743.1	8
QOQ02226.1	8
QNP04423.1	8
QNO62999.1	8
QOQ06101.1	8
QOT49541.1	8
QOQ10816.1	8
QNO64499.1	8
QOQ07949.1	8
QOP81907.1	8
QOQ25939.1	8
QOT58732.1	8
QOT56345.1	8
QOT48869.1	8
QHZ00379.1	9
QIA98583.1	9
QII57268.2	9
QIJ96493.1	9
QIS30335.1	9
QIU81885.1	9
QIU80973.1	9
QIU80913.1	9
QJA41641.1	9
QJD48279.1	9
QJD47728.1	9
QJF76007.1	9
QJR85701.1	9
QKE45860.1	9
QKK14611.1	9
QKV06859.1	9
QKU33257.1	9
QKU28906.1	9
QKV37344.1	9
QLI51781.1	9
QLJ85689.1	9
QLJ57383.1	9
QMJ01317.1	9
QMI90807.1	9
QMS52716.1	9
QMT96172.1	9
QMT52813.1	9
QNN86445.1	9
QNN86157.1	9
QNP06319.1	9
QNO93287.1	9
QNV50022.1	9
QOE75686.1	9
QOH28993.1	9
QOF15989.1	9
QOF12353.1	9
QOS50952.1	9
QOU99296.1	9
QOU93902.1	9
QOU86714.1	9
QOU85022.1	9
QJF74843.1	9
QOS49673.1	9
QOX07523.1	9
QNQ32139.1	9
QIC53204.1	9
QII57278.1	9
QIS61422.1	9
QIS60978.1	9
QIS60930.1	9
QIS60582.1	9
QIU81585.1	9
QIZ16509.1	9
QIZ15717.1	9
QJC19647.1	9
QIT07011.1	9
QJR87129.1	9
QJR85965.1	9
QJR85953.1	9
QJR85833.1	9
QJR84585.1	9
QJR84537.1	9
QJS53398.1	9
QJT73034.1	9
QJC19455.1	9
QJY40409.1	9
QKS65788.1	9
QKS65584.1	9
QKV06175.1	9
QKU53817.1	9
QIS61254.1	9
QKU28894.1	9
QKU28882.1	9
QKS90791.1	9
QKS90179.1	9
QKV41471.1	9
QKV39024.1	9
QJT72182.1	9
QKV35819.1	9
QKY74846.1	9
QLB39236.1	9
QLC93524.1	9
QLC91196.1	9
QLG00003.1	9
QLG76121.1	9
QLG76049.1	9
QLH93131.1	9
QLJ53548.1	9
QLJ85677.1	9
QLQ87564.1	9
QMI94525.1	9
QMS53495.1	9
QMS53075.1	9
QMT95332.1	9
QMT95128.1	9
QMT94180.1	9
QMT51949.1	9
QMX85049.1	9
QNJ45758.1	9
QNO91835.1	9
QJX45031.1	9
QNR54356.1	9
QNR60416.1	9
QOF17081.1	9
QOF13325.1	9
QOF12377.1	9
QOF12329.1	9
QOF10625.1	9
QOF08429.1	9
QMT28629.1	9
QOI53592.1	9
QOL84169.1	9
QOS50678.1	9
QOU99110.1	9
QKV38208.1	9
QOU97058.1	9
QOU95738.1	9
QIA20044.1	9
QOU95354.1	9
QOU94298.1	9
QOU93950.1	9
QOU91202.1	9
QOU90758.1	9
QOU89966.1	9
QOU88070.1	9
QOU85466.1	9
QOU84842.1	9
QOU84470.1	9
QJR87897.1	10
QJS53506.1	10
QJZ28203.1	10
QKG87470.1	10
QJX45344.1	10
QLK97831.1	10
QMI99854.1	10
QJT72614.1	10
QMJ00945.1	10
QMI98379.1	10
QMT53313.1	10
QMU94968.1	10
QMU94776.1	10
QNS26978.1	10
QNS26666.1	10
QNG41277.1	10
QNG43096.1	10
QNL23972.1	10
QNO32000.1	10
QNS26546.1	10
QNT08737.1	10
QNV50202.1	10
QOC65897.1	10
QMJ00981.1	10
QOC61831.1	10
QKI30376.1	10
QOC60727.1	10
QOD06601.1	10
QNJ45386.1	10
QOI60346.1	10
QOS50177.1	10
QPB40947.1	10
QPB45722.1	10
QPB14630.1	10
QLE10849.1	10
QMT51997.1	10
QLG97711.1	10
QNL12866.1	10
QNM94190.1	10
QOI09879.1	10
QOR54999.1	10
QOW83226.1	10
QOW79940.1	10
QOW79028.1	10
QOX07451.1	10
QOI10299.1	10
QOH29101.1	10
QOC62215.1	10
QNO92387.1	10
QNL36370.1	10
QJT72386.1	10
QMI99674.1	10
QMI91910.1	10
QMI91142.1	10
QOF09473.1	10
QOI09915.1	10
QOI09855.1	10
QOI53496.1	10
QOL76165.1	10
QOS45825.1	10
QNA41562.1	10
QOH29173.1	10
QOW82699.1	10
QOX08193.1	10
QOX08097.1	10
QLC47920.1	10
QLC47896.1	10
QNN95197.1	10
QOQ71121.1	10
QLL36145.1	10
QJR84429.1	10
QNS29261.1	10
QOL73021.1	10
QNS29189.1	10
QOR64245.1	10
QPB18196.1	10
QPB18136.1	10
QPB17992.1	10
QOX08073.1	10
QOQ57108.1	10
QNL24032.1	10
QNL24056.1	10
QJY40517.1	10
QJY40565.1	10
QNL11954.1	10
QNL98469.1	10
QNL90872.1	10
QOL76849.1	10
QOQ71849.1	10
QOW82447.1	10
QOL76393.1	10
QPB13175.1	10
QPB41122.1	10
QOH27402.1	10
QOW78647.1	10
QMT49393.1	10
QOE75866.1	10
QPB13259.1	10
QPB12767.1	10
QKG89366.1	10
QKJ68605.1	10
QKX47969.1	10
QLH01081.1	10
QLM05835.1	10
QMU94140.1	10
QNL11426.1	10
QOE78764.1	10
QNA40350.1	10
QOL76705.1	10
QOL75649.1	10
QKQ30552.1	10
QKM75485.1	10
QKG86966.1	10
QOI60370.1	10
QOX08313.1	10
QOC61711.1	10
QOC63115.1	10
QND76766.1	10
QOH27414.1	10
QNO94607.1	10
QMU25419.1	10
QOE45143.1	10
QPB40091.1	10
QLG75965.1	10
QKG90986.1	10
QNA40794.1	10
QNA39486.1	10
QOI10155.1	10
QOL76153.1	10
QOJ41819.1	10
QOW81164.1	10
QOW80912.1	10
QJD25193.1	10
QKO25770.1	10
QLH01093.1	10
QLG98191.1	10
QLJ53608.1	10
QLC47908.1	10
QMT97132.1	10
QOE75890.1	10
QOL74329.1	10
QOL73129.1	10
QLI50605.1	10
QOU97130.1	10
QOW63068.1	10
QNN88274.1	10
QOW86658.1	10
QOW79628.1	10
QOF16085.1	10
QOW16609.1	10
QMT53385.1	10
QNA39990.1	10
QNL23841.1	10
QNR99276.1	10
QKV38905.1	10
QKV37332.1	10
QMJ00669.1	10
QOW85777.1	10
QLK97819.1	10
QOW62564.1	10
QJX44562.1	10
QLA10140.1	10
QLF98289.1	10
QLR12333.1	10
QMT54561.1	10
QMT53397.1	10
QNL90920.1	10
QNN83674.1	10
QNN81492.1	10
QOQ72556.1	10
QOY99879.1	10
QNL11534.1	10
QKV35279.1	10
QNS00697.1	10
QJW28196.1	10
QJY40469.1	10
QKI28601.1	10
QLF97735.1	10
QLH55707.1	10
QLY88683.1	10
QMI91082.1	10
QMS48295.1	10
QMT96772.1	10
QMU94920.1	10
QNI24852.1	10
QOC61243.1	10
QOL76069.1	10
QOL73621.1	10
QOV04388.1	10
QOS50045.1	10
QOW16961.1	10
QOW62960.1	10
QOW62468.1	10
QOW62384.1	10
QOW96047.1	10
QPB45854.1	10
