SequenceName	ClusterNumber
QOY99615.1	3
QOW78968.1	3
QKV27551.1	3
QJD23609.1	3
QPB13067.1	3
QPB45602.1	3
QOX07427.1	3
QOU95810.1	3
QNN87592.1	3
QNV50310.1	3
QJR84369.1	3
QKT21014.1	3
QLB39021.1	3
QOC66821.1	3
QKQ63760.1	3
QNQ15608.1	3
QMI99806.1	3
QLF98277.1	3
QOF20777.1	3
QOL72229.1	3
QNO71111.1	3
QNU11076.1	3
QJX70519.1	3
QKI31226.1	3
QKN20763.1	3
BCG67531.1	3
QLG99856.1	3
QKR84321.1	3
QLI51325.1	3
QLK98059.1	3
QMJ01257.1	3
QMI93158.1	3
QMI93350.1	3
QMI91274.1	3
QMU92880.1	3
QLK97867.1	3
QMU91459.1	3
QNB17840.1	3
QNA39582.1	3
QNA38791.1	3
QNG41433.1	3
QNR99695.1	3
QOC60739.1	3
QOE44536.1	3
QOE45191.1	3
QOE87984.1	3
QOI11907.1	3
QOS50928.1	3
QOS47054.1	3
QOU94886.1	3
QOW79016.1	3
QLJ57659.1	3
QOW78743.1	3
QNR99347.1	3
QOC66989.1	3
QOY99747.1	3
QNR51172.1	3
QOY99471.1	3
QPB41278.1	3
QLY88863.1	3
QPB45590.1	3
QPB13103.1	3
YP_009724390.1	3
QNO71459.1	3
QOS50369.1	3
BCG44664.1	3
QOY99759.1	3
QPD96890.1	3
QED21095.1	-1
AFH54739.1	-1
QKN61229.1	-1
QKS67443.1	4
QOS14145.1	4
QKF95522.1	4
QOP88023.1	4
QLA46612.1	4
QNP00979.1	5
QNO87419.1	5
QNO62939.1	5
QOQ16631.1	5
QNO80951.1	5
QOQ10780.1	5
QOQ05513.1	5
QOT56129.1	5
QOQ14248.1	5
QOT66590.1	5
QOQ17195.1	5
QOQ12544.1	5
QOQ00355.1	5
QOP99202.1	5
QOT51653.1	5
QOE81293.1	5
QNN88058.1	5
QOQ25639.1	5
QOT53765.1	5
QOW82783.1	5
QOW79544.1	5
QOR63226.1	5
QNA36223.1	5
QOR53789.1	5
QLG76853.1	5
QOP82375.1	5
QOQ03942.1	5
QOW84912.1	5
QNP05635.1	5
QOQ08812.1	5
QOQ08656.1	5
QOT62306.1	5
QOT61718.1	5
QOP97318.1	5
QOP97426.1	5
QOT66854.1	5
QKV37632.1	5
QOT48977.1	5
QNL10826.1	5
QOQ02406.1	5
QMJ01509.1	5
QNO91511.1	5
QNS30341.1	5
QLI49757.1	5
QNO40644.1	5
QKY59893.1	5
QOQ27999.1	5
QOS51024.1	5
QOS50988.1	5
QOF08813.1	5
QNR60009.1	5
QNO39997.1	5
QNH88883.1	5
QLK03503.1	5
QLG76385.1	5
QJS57147.1	5
QJD47718.1	5
QLC47069.1	5
QOI10251.1	5
QJT72086.1	5
QJT72350.1	5
QIQ49882.1	5
QOV04520.1	5
QOW62432.1	5
QOY98721.1	5
QOF12653.1	5
QKT21158.1	5
QOC61951.1	5
QOC61531.1	5
QJR88113.1	5
QKN61217.1	5
QKV49386.1	5
QMI57728.1	5
QLH55683.1	5
QKG27877.1	5
QKG64075.1	5
QOE45323.1	5
QNN87100.1	5
QNO92399.1	5
QKJ68545.1	5
QND78273.1	5
QNQ17069.1	5
QNQ74632.1	5
QOE86848.1	5
QLF97795.1	5
QMT94216.1	5
QNL36358.1	5
QJU70569.1	5
QMI91946.1	5
QOQ72149.1	5
QLH64889.1	5
QNL35914.1	5
QNN88178.1	5
QOQ72544.1	5
QOR64233.1	5
QNN88166.1	5
QNP05959.1	6
QNP04027.1	6
QNP03115.1	6
QNO96407.1	6
QNO92999.1	6
QNO92843.1	6
QNO90635.1	6
QNO87311.1	6
QNO83747.1	6
QNO83303.1	6
QNO82199.1	6
QNO81959.1	6
QNO88871.1	6
QNO81083.1	6
QNO81035.1	6
QNO79547.1	6
QNO78863.1	6
QNO75467.1	6
QNO71891.1	6
QNO65927.1	6
QNO62267.1	6
QOQ28323.1	6
QOQ26107.1	6
QOQ24537.1	6
QOQ24477.1	6
QOQ24441.1	6
QOQ24357.1	6
QOQ23830.1	6
QOQ20147.1	6
QOQ19763.1	6
QOQ19415.1	6
QOQ18719.1	6
QOQ18203.1	6
QOQ17927.1	6
QOQ17591.1	6
QOQ17531.1	6
QOQ15875.1	6
QOQ15638.1	6
QOQ12256.1	6
QOQ11224.1	6
QOQ07793.1	6
QOQ04493.1	6
QOQ03546.1	6
QOQ00667.1	6
QOQ00499.1	6
QOP99142.1	6
QOP98998.1	6
QOP97378.1	6
QOP96791.1	6
QOP95354.1	6
QOP94670.1	6
QOP94514.1	6
QOP91635.1	6
QOP91251.1	6
QOP89211.1	6
QOP86596.1	6
QOP89847.1	6
QOP84533.1	6
QOP84185.1	6
QOP82663.1	6
QOP82483.1	6
QOP81163.1	6
QOT69468.1	6
QOT68629.1	6
QOT68569.1	6
QOT63794.1	6
QOT63722.1	6
QOT62174.1	6
QOT61311.1	6
QOT60963.1	6
QOT59307.1	6
QOT57976.1	6
QOT57220.1	6
QOT56801.1	6
QOT56765.1	6
QOT61898.1	6
QOT55805.1	6
QOT55625.1	6
QOT53573.1	6
QOT53297.1	6
QOT52757.1	6
QOT52349.1	6
QOT52253.1	6
QOT51977.1	6
QOT51821.1	6
QOT51113.1	6
QOT50837.1	6
QNO90119.1	6
QOT50789.1	6
QOT50765.1	6
QOT50429.1	6
QOT50093.1	6
QOT49817.1	6
QOT48629.1	6
QOT48269.1	6
QOT48245.1	6
QOT48149.1	6
QOT47945.1	6
QOT47706.1	6
QOT47694.1	6
QNP01591.1	6
QNO86579.1	6
QNO60947.1	6
QOQ22114.1	6
QOQ02622.1	6
QOQ06257.1	6
QOQ00895.1	6
QOP99430.1	6
QOP94754.1	6
QOP93111.1	6
QOT67106.1	6
QOT64550.1	6
QOT63662.1	6
QOT62270.1	6
QOT61095.1	6
QOT58360.1	6
QOT52889.1	6
QOT48701.1	6
QNP05107.1	6
QNO89171.1	6
QNO80891.1	6
QNO66275.1	6
QOQ19931.1	6
QOQ14728.1	6
QOQ09568.1	6
QOQ04218.1	6
QOQ00763.1	6
QOT69660.1	6
QOT52577.1	6
QOQ17255.1	6
QOQ13516.1	6
QNO89723.1	6
QOQ01255.1	6
QOP85936.1	6
QPB74043.1	6
QOT62546.1	6
QOT60387.1	6
QOP80228.1	6
QOT58480.1	6
QNO99167.1	6
QOT51461.1	6
QOQ21826.1	6
QNO62099.1	6
QOT49757.1	6
QNO87695.1	6
QNP01099.1	6
QOQ18743.1	6
QOQ02226.1	6
QNP04423.1	6
QNO62999.1	6
QOQ06101.1	6
QOT49541.1	6
QOQ10816.1	6
QNO64499.1	6
QOQ07949.1	6
QOP81907.1	6
QOQ25939.1	6
QOT58732.1	6
QOT56345.1	6
QOT48869.1	6
QHZ00379.1	7
QIA98583.1	7
QII57268.2	7
QIJ96493.1	7
QIS30335.1	7
QIU81885.1	7
QIU80973.1	7
QIU80913.1	7
QJA41641.1	7
QJD48279.1	7
QJD47728.1	7
QJF76007.1	7
QJR85701.1	7
QKE45860.1	7
QKK14611.1	7
QKV06859.1	7
QKU33257.1	7
QKU28906.1	7
QKV37344.1	7
QLI51781.1	7
QLJ85689.1	7
QLJ57383.1	7
QMJ01317.1	7
QMI90807.1	7
QMS52716.1	7
QMT96172.1	7
QMT52813.1	7
QNN86445.1	7
QNN86157.1	7
QNP06319.1	7
QNO93287.1	7
QNV50022.1	7
QOE75686.1	7
QOH28993.1	7
QOF15989.1	7
QOF12353.1	7
QOS50952.1	7
QOU99296.1	7
QOU93902.1	7
QOU86714.1	7
QOU85022.1	7
QJF74843.1	7
QOS49673.1	7
QOX07523.1	7
QNQ32139.1	7
QIC53204.1	7
QII57278.1	7
QIS61422.1	7
QIS60978.1	7
QIS60930.1	7
QIS60582.1	7
QIU81585.1	7
QIZ16509.1	7
QIZ15717.1	7
QJC19647.1	7
QIT07011.1	7
QJR87129.1	7
QJR85965.1	7
QJR85953.1	7
QJR85833.1	7
QJR84585.1	7
QJR84537.1	7
QJS53398.1	7
QJT73034.1	7
QJC19455.1	7
QJY40409.1	7
QKS65788.1	7
QKS65584.1	7
QKV06175.1	7
QKU53817.1	7
QIS61254.1	7
QKU28894.1	7
QKU28882.1	7
QKS90791.1	7
QKS90179.1	7
QKV41471.1	7
QKV39024.1	7
QJT72182.1	7
QKV35819.1	7
QKY74846.1	7
QLB39236.1	7
QLC93524.1	7
QLC91196.1	7
QLG00003.1	7
QLG76121.1	7
QLG76049.1	7
QLH93131.1	7
QLJ53548.1	7
QLJ85677.1	7
QLQ87564.1	7
QMI94525.1	7
QMS53495.1	7
QMS53075.1	7
QMT95332.1	7
QMT95128.1	7
QMT94180.1	7
QMT51949.1	7
QMX85049.1	7
QNJ45758.1	7
QNO91835.1	7
QJX45031.1	7
QNR54356.1	7
QNR60416.1	7
QOF17081.1	7
QOF13325.1	7
QOF12377.1	7
QOF12329.1	7
QOF10625.1	7
QOF08429.1	7
QMT28629.1	7
QOI53592.1	7
QOL84169.1	7
QOS50678.1	7
QOU99110.1	7
QKV38208.1	7
QOU97058.1	7
QOU95738.1	7
QIA20044.1	7
QOU95354.1	7
QOU94298.1	7
QOU93950.1	7
QOU91202.1	7
QOU90758.1	7
QOU89966.1	7
QOU88070.1	7
QOU85466.1	7
QOU84842.1	7
QOU84470.1	7
QJR87897.1	8
QJS53506.1	8
QJZ28203.1	8
QKG87470.1	8
QJX45344.1	8
QLK97831.1	8
QMI99854.1	8
QJT72614.1	8
QMJ00945.1	8
QMI98379.1	8
QMT53313.1	8
QMU94968.1	8
QMU94776.1	8
QNS26978.1	8
QNS26666.1	8
QNG41277.1	8
QNG43096.1	8
QNL23972.1	8
QNO32000.1	8
QNS26546.1	8
QNT08737.1	8
QNV50202.1	8
QOC65897.1	8
QMJ00981.1	8
QOC61831.1	8
QKI30376.1	8
QOC60727.1	8
QOD06601.1	8
QNJ45386.1	8
QOI60346.1	8
QOS50177.1	8
QPB40947.1	8
QPB45722.1	8
QPB14630.1	8
QLE10849.1	8
QMT51997.1	8
QLG97711.1	8
QNL12866.1	8
QNM94190.1	8
QOI09879.1	8
QOR54999.1	8
QOW83226.1	8
QOW79940.1	8
QOW79028.1	8
QOX07451.1	8
QOI10299.1	8
QOH29101.1	8
QOC62215.1	8
QNO92387.1	8
QNL36370.1	8
QJT72386.1	8
QMI99674.1	8
QMI91910.1	8
QMI91142.1	8
QOF09473.1	8
QOI09915.1	8
QOI09855.1	8
QOI53496.1	8
QOL76165.1	8
QOS45825.1	8
QNA41562.1	8
QOH29173.1	8
QOW82699.1	8
QOX08193.1	8
QOX08097.1	8
QLC47920.1	8
QLC47896.1	8
QNN95197.1	8
QOQ71121.1	8
QLL36145.1	8
QJR84429.1	8
QNS29261.1	8
QOL73021.1	8
QNS29189.1	8
QOR64245.1	8
QPB18196.1	8
QPB18136.1	8
QPB17992.1	8
QOX08073.1	8
QOQ57108.1	8
QNL24032.1	8
QNL24056.1	8
QJY40517.1	8
QJY40565.1	8
QNL11954.1	8
QNL98469.1	8
QNL90872.1	8
QOL76849.1	8
QOQ71849.1	8
QOW82447.1	8
QOL76393.1	8
QPB13175.1	8
QPB41122.1	8
QOH27402.1	8
QOW78647.1	8
QMT49393.1	8
QOE75866.1	8
QPB13259.1	8
QPB12767.1	8
QKG89366.1	8
QKJ68605.1	8
QKX47969.1	8
QLH01081.1	8
QLM05835.1	8
QMU94140.1	8
QNL11426.1	8
QOE78764.1	8
QNA40350.1	8
QOL76705.1	8
QOL75649.1	8
QKQ30552.1	8
QKM75485.1	8
QKG86966.1	8
QOI60370.1	8
QOX08313.1	8
QOC61711.1	8
QOC63115.1	8
QND76766.1	8
QOH27414.1	8
QNO94607.1	8
QMU25419.1	8
QOE45143.1	8
QPB40091.1	8
QLG75965.1	8
QKG90986.1	8
QNA40794.1	8
QNA39486.1	8
QOI10155.1	8
QOL76153.1	8
QOJ41819.1	8
QOW81164.1	8
QOW80912.1	8
QJD25193.1	8
QKO25770.1	8
QLH01093.1	8
QLG98191.1	8
QLJ53608.1	8
QLC47908.1	8
QMT97132.1	8
QOE75890.1	8
QOL74329.1	8
QOL73129.1	8
QLI50605.1	8
QOU97130.1	8
QOW63068.1	8
QNN88274.1	8
QOW86658.1	8
QOW79628.1	8
QOF16085.1	8
QOW16609.1	8
QMT53385.1	8
QNA39990.1	8
QNL23841.1	8
QNR99276.1	8
QKV38905.1	8
QKV37332.1	8
QMJ00669.1	8
QOW85777.1	8
QLK97819.1	8
QOW62564.1	8
QJX44562.1	8
QLA10140.1	8
QLF98289.1	8
QLR12333.1	8
QMT54561.1	8
QMT53397.1	8
QNL90920.1	8
QNN83674.1	8
QNN81492.1	8
QOQ72556.1	8
QOY99879.1	8
QNL11534.1	8
QKV35279.1	8
QNS00697.1	8
QJW28196.1	8
QJY40469.1	8
QKI28601.1	8
QLF97735.1	8
QLH55707.1	8
QLY88683.1	8
QMI91082.1	8
QMS48295.1	8
QMT96772.1	8
QMU94920.1	8
QNI24852.1	8
QOC61243.1	8
QOL76069.1	8
QOL73621.1	8
QOV04388.1	8
QOS50045.1	8
QOW16961.1	8
QOW62960.1	8
QOW62468.1	8
QOW62384.1	8
QOW96047.1	8
QPB45854.1	8
